COUNTRY,GDP (BILLIONS),CODE,country
Sint Maarten,304.1,SXM,sint maarten
Slovakia,99.75,SVK,slovakia
Slovenia,49.93,SVN,slovenia
Solomon Islands,1.16,SLB,solomon islands
Somalia,2.37,SOM,somalia
South Africa,341.2,ZAF,south africa
South Sudan,11.89,SSD,south sudan
Spain,1400,ESP,spain
Sri Lanka,71.57,LKA,sri lanka
Sudan,70.03,SDN,sudan
Suriname,5.27,SUR,suriname
Swaziland,3.84,SWZ,swaziland
Sweden,559.1,SWE,sweden
Switzerland,679,CHE,switzerland
Syria,64.7,SYR,syria
Taiwan,529.5,TWN,taiwan
Tajikistan,9.16,TJK,tajikistan
Tanzania,36.62,TZA,tanzania
Thailand,373.8,THA,thailand
Timor-Leste,4.51,TLS,timor-leste
Togo,4.84,TGO,togo
Tonga,0.49,TON,tonga
Trinidad and Tobago,29.63,TTO,trinidad and tobago
Tunisia,49.12,TUN,tunisia
Turkey,813.3,TUR,turkey
Turkmenistan,43.5,TKM,turkmenistan
Tuvalu,0.04,TUV,tuvalu
Uganda,26.09,UGA,uganda
Ukraine,134.9,UKR,ukraine
United Arab Emirates,416.4,ARE,united arab emirates
United Kingdom,2848,GBR,united kingdom
United States,17420,USA,united states
Uruguay,55.6,URY,uruguay
Uzbekistan,63.08,UZB,uzbekistan
Vanuatu,0.82,VUT,vanuatu
Venezuela,209.2,VEN,venezuela
Vietnam,187.8,VNM,vietnam
Virgin Islands,5.08,VGB,virgin islands
West Bank,6.64,WBG,west bank
Yemen,45.45,YEM,yemen
Zambia,25.61,ZMB,zambia
Zimbabwe,13.74,ZWE,zimbabwe
